AuthorID,Text,CreatedAt
1.49124E+18,@Was_Gill A captain who lost  all the last test matches what do you expect that BCCI will forgive him no Virat Kohli also sacked from captaincy for what just losing a world Cup and these people never support Virat Kohli then so why they are boot licking of Rohit Sharma,2025-01-02 16:34:01+00:00
1078095182,"@ESPNcricinfo #INDvsAUS Marsh dropped by Aus🫨But @BCCI will not drop poor performers until they retire- RS,VK,SGill, KLRahul,Siraj bcose of #ipl  cricporn is more imp than @ICC championships @imAagarkar @sanjaymanjrekar @bhogleharsha  @GautamGambhir @cricketcomau",2025-01-02 16:34:00+00:00
1.83927E+18,@ChennaiIPL @BCCI Good player,2025-01-02 16:34:00+00:00
2798283516,"RT @Hurricanrana_27: Throwback to when GG registered his highest ODI Score 150* vs SL

#HappyBirthdayGautamGambhir
https://t.co/rBAaoHn1Ho",2025-01-02 16:33:59+00:00
1.67701E+18,"RT @BCCI: 📍 Sydney

𝗔𝗹𝗹 𝗦𝗲𝘁 𝗳𝗼𝗿 𝘁𝗵𝗲 5⃣𝘁𝗵 &amp; 𝗙𝗶𝗻𝗮𝗹 𝗧𝗲𝘀𝘁! 👍 👍

#TeamIndia | #AUSvIND https://t.co/zJ02MmpAST",2025-01-02 16:33:58+00:00
1.35517E+18,"RT @sigma__male_: After the 2021 Virat Kohli's Captaincy saga

- Saurav Ganguly sacked as BCCI president 
- Chetan Sharma sacked as BCCI se…",2025-01-02 16:33:48+00:00
1.42044E+18,RT @ImTanujSingh: 🚨 DEVAJIT SAIKIA IN LINE TO BE NEXT BCCI SECRETARY 🚨 (TOI). https://t.co/J3TzQUKDnf,2025-01-02 16:33:45+00:00
1.73597E+18,"RT @im___Rajput: Rohit Sharma is bigger than BCCI
RIP GAUTAM GAMBHIR

https://t.co/kzqcn8iOEB",2025-01-02 16:33:32+00:00
7.80449E+17,"RT @StarkAditya_: They be playing and dragging him.

Meanwhile him :
- Expels the dishonest player who leaked the dressing room conversatio…",2025-01-02 16:33:32+00:00
136584016,RT @pranjalvnu: @ICC @BCCI @mansukhmandviya @JayShah Why Camera is not in focus on coin during https://t.co/THM9d4avbB only shows Coins thr…,2025-01-02 16:33:31+00:00
1.09498E+18,RT @wokeflix_: You don’t stand and walk around a Prime Minster with hands in your pockets. Virat needs to learn this. It’s not BCCI office.…,2025-01-02 16:33:28+00:00
1.67701E+18,"RT @bholination: - Sacked by MI management 
- Sacked by BCCI

ROHIT SHARMA is the only player to get sacked twice in the history of cricket.",2025-01-02 16:33:23+00:00
